lji[ 200]:= 4bcd, 4bcd, c43e, c43e, c43e, 0000
lji[ 201]:= 3b22, 3b88, c43e, c43e, c43e, 0000
lji[ 202]:= c8c1, c83d, c43e, c43e, c43e, 0000
lji[ 203]:= 4888, 4898, c43e, c43e, c43e, 0000
lji[ 204]:= 3b22, 3c6c, c43e, c43e, c43e, 0000
lji[ 205]:= c888, c8c5, c43e, c43e, c43e, 0000
lji[ 206]:= 4159, 4171, c43e, c43e, c43e, 0000
lji[ 207]:= c23e, c242, c43e, c43e, c43e, 0000
lji[ 208]:= 3b22, 3b22, c43e, c43e, c43e, 0000
lji[ 209]:= cafc, caef, c43e, c43e, c43e, 0000
lji[ 210]:= cd0d, cd09, c43e, c43e, c43e, 0000
lji[ 211]:= 4a18, 4a18, c43e, c43e, c43e, 0000
lji[ 212]:= 48d4, 4885, c43e, c43e, c43e, 0000
lji[ 213]:= c7e0, c845, c43e, c43e, c43e, 0000
lji[ 214]:= 4803, 4654, c43e, c43e, c43e, 0000
lji[ 215]:= be8a, bc55, c43e, c43e, c43e, 0000
lji[ 216]:= 468a, 468a, c43e, c43e, c43e, 0000
lji[ 217]:= c63e, c618, c43e, c43e, c43e, 0000
lji[ 218]:= ca18, ca20, c43e, c43e, c43e, 0000
lji[ 219]:= 4a64, 4a45, c43e, c43e, c43e, 0000
lji[ 220]:= 49f1, 4a48, c43e, c43e, c43e, 0000
lji[ 221]:= c83c, c83c, c43e, c43e, c43e, 0000
lji[ 222]:= 4a51, 4a5c, c43e, c43e, c43e, 0000
lji[ 223]:= cae9, cb05, c43e, c43e, c43e, 0000
lji[ 224]:= 3fba, 3f7c, c43e, c43e, c43e, 0000
lji[ 225]:= 44c1, 450d, c43e, c43e, c43e, 0000
lji[ 226]:= c8d4, c8f3, c43e, c43e, c43e, 0000
lji[ 227]:= 444f, 4447, c43e, c43e, c43e, 0000
lji[ 228]:= 3f22, 3f22, c43e, c43e, c43e, 0000
lji[ 229]:= 47ba, 4846, c43e, c43e, c43e, 0000
lji[ 230]:= c664, c67f, c43e, c43e, c43e, 0000
lji[ 231]:= cac3, cacd, c43e, c43e, c43e, 0000
lji[ 232]:= 4664, 4664, c43e, c43e, c43e, 0000
lji[ 233]:= 4533, 4530, c43e, c43e, c43e, 0000
lji[ 234]:= b0c1, bc3f, c43e, c43e, c43e, 0000
lji[ 235]:= 444f, 444e, c43e, c43e, c43e, 0000
lji[ 236]:= 4a2b, 4a13, c43e, c43e, c43e, 0000
lji[ 237]:= 490d, 48a9, c43e, c43e, c43e, 0000
lji[ 238]:= 4b5b, 4ba9, c43e, c43e, c43e, 0000
lji[ 239]:= 46d6, 4616, c43e, c43e, c43e, 0000
