lij[ 339]:= c42d, c411, 4317, c2af, 42af, c3f7
lij[ 340]:= c041, c175, 408a, c2af, 42af, c3f7
lij[ 341]:= 46ee, c6ee, c7a0, c2af, 42af, c3f7
lij[ 342]:= c113, 4101, c5ad, c2af, 42af, c3f7
lij[ 343]:= c7a0, c56c, 456c, c2af, 42af, c3f7
lij[ 344]:= b575, 35c0, c34c, c2af, 42af, c3f7
lij[ 345]:= 42ce, c370, c1fb, c2af, 42af, c3f7
lij[ 346]:= 3c8d, bc8d, c7a0, c2af, 42af, c3f7
lij[ 347]:= 40cb, 40b7, 3ec8, c2af, 42af, c3f7
lij[ 348]:= b98f, 39b3, c3b5, c2af, 42af, c3f7
lij[ 349]:= 41f6, c1fe, c6b5, c2af, 42af, c3f7
lij[ 350]:= c376, bc75, 3cb5, c2af, 42af, c3f7
lij[ 351]:= 45ad, c4f2, c4b3, c2af, 42af, c3f7
lij[ 352]:= b51f, 3612, c0f3, c2af, 42af, c3f7
lij[ 353]:= 2a60, b9e2, ae81, c2af, 42af, c3f7
lij[ 354]:= 3758, c016, b8c7, c2af, 42af, c3f7
lij[ 355]:= 4177, 432e, 428a, c2af, 42af, c3f7
lij[ 356]:= c465, c465, 47a0, c2af, 42af, c3f7
lij[ 357]:= b56d, 354c, c447, c2af, 42af, c3f7
lij[ 358]:= b7c2, b77a, 40e9, c2af, 42af, c3f7
lij[ 359]:= c317, c456, 441d, c2af, 42af, c3f7
lij[ 360]:= 3cca, c6b5, bccc, c2af, 42af, c3f7
lij[ 361]:= 3ac7, 4182, 3bd6, c2af, 42af, c3f7
lij[ 362]:= 4738, 4545, 4539, c2af, 42af, c3f7
lij[ 363]:= 41ac, c4f2, c1e8, c2af, 42af, c3f7
lij[ 364]:= c0ac, c0ac, 47a0, c2af, 42af, c3f7
lij[ 365]:= 2500, a4c0, c244, c2af, 42af, c3f7
lij[ 366]:= 3ec6, c6b5, beca, c2af, 42af, c3f7
lij[ 367]:= c518, 4132, c15a, c2af, 42af, c3f7
lij[ 368]:= 3e78, 3e5c, 419b, c2af, 42af, c3f7
lij[ 369]:= 46b5, 4025, 4028, c2af, 42af, c3f7
lij[ 370]:= 4356, 433d, 465f, c2af, 42af, c3f7
lij[ 371]:= c283, 4283, c7a0, c2af, 42af, c3f7
lij[ 372]:= 4738, c7a0, c738, c2af, 42af, c3f7
lij[ 373]:= 423e, c504, c27c, c2af, 42af, c3f7
lij[ 374]:= bc2f, be39, 3f7d, c2af, 42af, c3f7
lij[ 375]:= 41c7, c0a5, c241, c2af, 42af, c3f7
lij[ 376]:= 3d00, bcd1, c3b5, c2af, 42af, c3f7
lij[ 377]:= c1a0, c05c, 4075, c2af, 42af, c3f7
lij[ 378]:= 2ae0, 2d21, 3e8e, c2af, 42af, c3f7
lij[ 379]:= 3f6a, 444c, 3fbf, c2af, 42af, c3f7
lij[ 380]:= 452d, ba02, ba13, c2af, 42af, c3f7
lij[ 381]:= c50e, c65f, 4545, c2af, 42af, c3f7
lij[ 382]:= 38ad, beaa, baad, c2af, 42af, c3f7
lij[ 383]:= 391d, 3998, 424e, c2af, 42af, c3f7
lij[ 384]:= bc96, 3ca1, c229, c2af, 42af, c3f7
lij[ 385]:= c050, 431b, bfc4, c2af, 42af, c3f7
lij[ 386]:= 3da5, bd44, c2f8, c2af, 42af, c3f7
lij[ 387]:= bdcc, 45c0, bdd5, c2af, 42af, c3f7
lij[ 388]:= b868, b50b, 3aa1, c2af, 42af, c3f7
lij[ 389]:= bafe, 3b82, c2d2, c2af, 42af, c3f7
lij[ 390]:= c342, 423e, c402, c2af, 42af, c3f7
lij[ 391]:= 446a, 446a, 47a0, c2af, 42af, c3f7
lij[ 392]:= bccc, bccc, 47a0, c2af, 42af, c3f7
lij[ 393]:= 440d, c2d6, c425, c2af, 42af, c3f7
lij[ 394]:= 43f7, c317, c3c8, c2af, 42af, c3f7
lij[ 395]:= 42d2, c2d2, c7a0, c2af, 42af, c3f7
lij[ 396]:= 4456, 4456, 47a0, c2af, 42af, c3f7
lij[ 397]:= 41bd, bdff, bd28, c2af, 42af, c3f7
lij[ 398]:= bca1, 403c, be65, c2af, 42af, c3f7
lij[ 399]:= c333, 43c2, c480, c2af, 42af, c3f7
lij[ 400]:= 4539, c283, c2ca, c2af, 42af, c3f7
