lji[ 207]:= c23e, c23e, 4c37, 4c2b, 4c40, 4d21
lji[ 208]:= 3b22, 3b22, 4c37, 4c2b, 4c40, 4d21
lji[ 209]:= cafc, cafc, 4c37, 4c2b, 4c40, 4d21
lji[ 210]:= cd0d, cd0d, 4c37, 4c2b, 4c40, 4d21
lji[ 211]:= 4a18, 4a18, 4c37, 4c2b, 4c40, 4d21
lji[ 212]:= 48d4, 48d4, 4c37, 4c2b, 4c40, 4d21
lji[ 213]:= c7e0, c7e0, 4c37, 4c2b, 4c40, 4d21
lji[ 214]:= 4803, 4803, 4c37, 4c2b, 4c40, 4d21
lji[ 215]:= be8a, be8a, 4c37, 4c2b, 4c40, 4d21
lji[ 216]:= 468a, 468a, 4c37, 4c2b, 4c40, 4d21
lji[ 217]:= c63e, c63e, 4c37, 4c2b, 4c40, 4d21
lji[ 218]:= ca18, ca18, 4c37, 4c2b, 4c40, 4d21
lji[ 219]:= 4a64, 4a64, 4c37, 4c2b, 4c40, 4d21
lji[ 220]:= 49f1, 49f1, 4c37, 4c2b, 4c40, 4d21
lji[ 221]:= c83c, c83c, 4c37, 4c2b, 4c40, 4d21
lji[ 222]:= 4a51, 4a51, 4c37, 4c2b, 4c40, 4d21
lji[ 223]:= cae9, cae9, 4c37, 4c2b, 4c40, 4d21
lji[ 224]:= 3fba, 3fba, 4c37, 4c2b, 4c40, 4d21
lji[ 225]:= 44c1, 44c1, 4c37, 4c2b, 4c40, 4d21
lji[ 226]:= c8d4, c8d4, 4c37, 4c2b, 4c40, 4d21
lji[ 227]:= 444f, 444f, 4c37, 4c2b, 4c40, 4d21
lji[ 228]:= 3f22, 3f22, 4c37, 4c2b, 4c40, 4d21
lji[ 229]:= 47ba, 47ba, 4c37, 4c2b, 4c40, 4d21
lji[ 230]:= c664, c664, 4c37, 4c2b, 4c40, 4d21
lji[ 231]:= cac3, cac3, 4c37, 4c2b, 4c40, 4d21
lji[ 232]:= 4664, 4664, 4c37, 4c2b, 4c40, 4d21
lji[ 233]:= 4533, 4533, 4c37, 4c2b, 4c40, 4d21
lji[ 234]:= b0c1, b0c1, 4c37, 4c2b, 4c40, 4d21
lji[ 235]:= 444f, 444f, 4c37, 4c2b, 4c40, 4d21
lji[ 236]:= 4a2b, 4a2b, 4c37, 4c2b, 4c40, 4d21
lji[ 237]:= 490d, 490d, 4c37, 4c2b, 4c40, 4d21
lji[ 238]:= 4b5b, 4b5b, 4c37, 4c2b, 4c40, 4d21
lji[ 239]:= 46d6, 46d6, 4c37, 4c2b, 4c40, 4d21
lji[ 240]:= c029, c029, 4c37, 4c2b, 4c40, 4d21
lji[ 241]:= cafc, cafc, 4c37, 4c2b, 4c40, 4d21
lji[ 242]:= bd59, bd59, 4c37, 4c2b, 4c40, 4d21
lji[ 243]:= 483c, 483c, 4c37, 4c2b, 4c40, 4d21
lji[ 244]:= c5f1, c5f1, 4c37, 4c2b, 4c40, 4d21
lji[ 245]:= 44c1, 44c1, 4c37, 4c2b, 4c40, 4d21
lji[ 246]:= 47e0, 47e0, 4c37, 4c2b, 4c40, 4d21
lji[ 247]:= 45cb, 45cb, 4c37, 4c2b, 4c40, 4d21
lji[ 248]:= 3d59, 3d59, 4c37, 4c2b, 4c40, 4d21
lji[ 249]:= c9f1, c9f1, 4c37, 4c2b, 4c40, 4d21
lji[ 250]:= 34c1, 34c1, 4c37, 4c2b, 4c40, 4d21
lji[ 251]:= c559, c559, 4c37, 4c2b, 4c40, 4d21
lji[ 252]:= b722, b722, 4c37, 4c2b, 4c40, 4d21
lji[ 253]:= 49b8, 49b8, 4c37, 4c2b, 4c40, 4d21
lji[ 254]:= 48e7, 48e7, 4c37, 4c2b, 4c40, 4d21
lji[ 255]:= c475, c475, 4c37, 4c2b, 4c40, 4d21
lji[ 256]:= 4862, 4862, 4c37, 4c2b, 4c40, 4d21
lji[ 257]:= c76e, c76e, 4c37, 4c2b, 4c40, 4d21
lji[ 258]:= c722, c722, 4c37, 4c2b, 4c40, 4d21
lji[ 259]:= c7ba, c7ba, 4c37, 4c2b, 4c40, 4d21
lji[ 260]:= 47e0, 47e0, 4c37, 4c2b, 4c40, 4d21
lji[ 261]:= c722, c722, 4c37, 4c2b, 4c40, 4d21
lji[ 262]:= c8ae, c8ae, 4c37, 4c2b, 4c40, 4d21
