lij[ 359]:= 3fbd, c6ee, bfbf, 4141, c141, c3f7
lij[ 360]:= 4182, c7a0, c182, 4141, c141, c3f7
lij[ 361]:= b08a, 4197, b11b, 4141, c141, c3f7
lij[ 362]:= 4443, 4545, 43f7, 4141, c141, c3f7
lij[ 363]:= bb47, 3bff, c264, 4141, c141, c3f7
lij[ 364]:= 424e, 424e, 47a0, 4141, c141, c3f7
lij[ 365]:= c447, 4235, c1c9, 4141, c141, c3f7
lij[ 366]:= b926, bcdf, 3d32, 4141, c141, c3f7
lij[ 367]:= c7a0, 415a, c15a, 4141, c141, c3f7
lij[ 368]:= 36d2, 3cb4, 39ce, 4141, c141, c3f7
lij[ 369]:= 3c65, 3a95, 4028, 4141, c141, c3f7
lij[ 370]:= 4738, 463d, 465f, 4141, c141, c3f7
lij[ 371]:= 37e4, b8f5, c070, 4141, c141, c3f7
lij[ 372]:= 47a0, c7a0, c7a0, 4141, c141, c3f7
lij[ 373]:= 40da, c48c, c110, 4141, c141, c3f7
lij[ 374]:= c088, c0a8, 44c1, 4141, c141, c3f7
lij[ 375]:= 401c, c23e, bf17, 4141, c141, c3f7
lij[ 376]:= ba74, 3a4f, c35b, 4141, c141, c3f7
lij[ 377]:= c2d2, c05c, 4108, 4141, c141, c3f7
lij[ 378]:= c2e7, c3c8, 446f, 4141, c141, c3f7
lij[ 379]:= beca, 47a0, beca, 4141, c141, c3f7
lij[ 380]:= 4206, b978, ba13, 4141, c141, c3f7
lij[ 381]:= c0cb, c7a0, 40cb, 4141, c141, c3f7
lij[ 382]:= c43a, c447, 4329, 4141, c141, c3f7
lij[ 383]:= c52d, 4545, c6ee, 4141, c141, c3f7
lij[ 384]:= 2c50, b870, b358, 4141, c141, c3f7
lij[ 385]:= b895, 42ba, b85f, 4141, c141, c3f7
lij[ 386]:= 4738, c31b, c317, 4141, c141, c3f7
lij[ 387]:= b9ee, 40ac, bb5a, 4141, c141, c3f7
lij[ 388]:= c23e, 3c02, bbc7, 4141, c141, c3f7
lij[ 389]:= b011, b07a, 421d, 4141, c141, c3f7
lij[ 390]:= c3e2, 4299, c402, 4141, c141, c3f7
lij[ 391]:= bccc, bccc, 47a0, 4141, c141, c3f7
lij[ 392]:= 4415, 4415, 47a0, 4141, c141, c3f7
lij[ 393]:= beca, 3e7a, c425, 4141, c141, c3f7
lij[ 394]:= ba33, 3cc6, be30, 4141, c141, c3f7
