lji[ 353]:= af88, 3daa, c76e, c5d9, c826, c25c
lji[ 354]:= be5c, 407c, c76e, c5d9, c826, c25c
lji[ 355]:= 4617, 4795, c76e, c5d9, c826, c25c
lji[ 356]:= 4bf7, 4945, c76e, c5d9, c826, c25c
lji[ 357]:= 401a, baea, c76e, c5d9, c826, c25c
lji[ 358]:= c448, c4c7, c76e, c5d9, c826, c25c
lji[ 359]:= c19c, c460, c76e, c5d9, c826, c25c
lji[ 360]:= 3eac, 4366, c76e, c5d9, c826, c25c
lji[ 361]:= c8ea, c92d, c76e, c5d9, c826, c25c
lji[ 362]:= c3ce, c10e, c76e, c5d9, c826, c25c
lji[ 363]:= c16c, c406, c76e, c5d9, c826, c25c
lji[ 364]:= 4539, bbae, c76e, c5d9, c826, c25c
lji[ 365]:= 49fb, 4a89, c76e, c5d9, c826, c25c
lji[ 366]:= c9fa, cad1, c76e, c5d9, c826, c25c
lji[ 367]:= 4b25, 4bb4, c76e, c5d9, c826, c25c
lji[ 368]:= 46b4, 46f2, c76e, c5d9, c826, c25c
lji[ 369]:= bfff, b60c, c76e, c5d9, c826, c25c
lji[ 370]:= ca26, ca6d, c76e, c5d9, c826, c25c
lji[ 371]:= 46ea, 4030, c76e, c5d9, c826, c25c
lji[ 372]:= 490b, 45bf, c76e, c5d9, c826, c25c
lji[ 373]:= c5ab, 40d5, c76e, c5d9, c826, c25c
lji[ 374]:= 41b2, 48b2, c76e, c5d9, c826, c25c
lji[ 375]:= c9cc, c9b1, c76e, c5d9, c826, c25c
lji[ 376]:= 466c, 47ea, c76e, c5d9, c826, c25c
lji[ 377]:= c173, c604, c76e, c5d9, c826, c25c
lji[ 378]:= 41b4, 3d05, c76e, c5d9, c826, c25c
lji[ 379]:= 43a7, 3c48, c76e, c5d9, c826, c25c
lji[ 380]:= c173, bc29, c76e, c5d9, c826, c25c
lji[ 381]:= 4c08, 4a77, c76e, c5d9, c826, c25c
lji[ 382]:= 4400, 4a16, c76e, c5d9, c826, c25c
lji[ 383]:= c730, c8c7, c76e, c5d9, c826, c25c
lji[ 384]:= 3ec1, be52, c76e, c5d9, c826, c25c
lji[ 385]:= c214, 42a8, c76e, c5d9, c826, c25c
lji[ 386]:= 4589, 4524, c76e, c5d9, c826, c25c
lji[ 387]:= 39e8, 4246, c76e, c5d9, c826, c25c
lji[ 388]:= 46b5, 4926, c76e, c5d9, c826, c25c
lji[ 389]:= bda4, c12e, c76e, c5d9, c826, c25c
lji[ 390]:= 3989, b44e, c76e, c5d9, c826, c25c
lji[ 391]:= c0ca, bedd, c76e, c5d9, c826, c25c
lji[ 392]:= 48b2, 4981, c76e, c5d9, c826, c25c
lji[ 393]:= cac7, cce6, c76e, c5d9, c826, c25c
lji[ 394]:= c94d, c920, c76e, c5d9, c826, c25c
lji[ 395]:= c411, bb19, c76e, c5d9, c826, c25c
lji[ 396]:= c90b, c424, c76e, c5d9, c826, c25c
lji[ 397]:= 4ae4, 4bf0, c76e, c5d9, c826, c25c
lji[ 398]:= 4860, 418a, c76e, c5d9, c826, c25c
lji[ 399]:= c54d, c18d, c76e, c5d9, c826, c25c
lji[ 400]:= b874, b642, c76e, c5d9, c826, c25c
lji[ 401]:= c4ca, 3940, c76e, c5d9, c826, c25c
lji[ 402]:= c27c, 414a, c76e, c5d9, c826, c25c
lji[ 403]:= 4813, 46d6, c76e, c5d9, c826, c25c
lji[ 404]:= c218, bbba, c76e, c5d9, c826, c25c
lji[ 405]:= c87e, c518, c76e, c5d9, c826, c25c
lji[ 406]:= c85d, c8f1, c76e, c5d9, c826, c25c
lji[ 407]:= 48de, 45cc, c76e, c5d9, c826, c25c
lji[ 408]:= 4806, 4810, c76e, c5d9, c826, c25c
lji[ 409]:= c6ec, c155, c76e, c5d9, c826, c25c
lji[ 410]:= bf3c, c868, c76e, c5d9, c826, c25c
lji[ 411]:= 4bcd, 4c05, c76e, c5d9, c826, c25c
lji[ 412]:= 493f, 49be, c76e, c5d9, c826, c25c
lji[ 413]:= c9b8, c9d7, c76e, c5d9, c826, c25c
lji[ 414]:= b030, c380, c76e, c5d9, c826, c25c
lji[ 415]:= c26e, c27c, c76e, c5d9, c826, c25c
lji[ 416]:= 4448, bddc, c76e, c5d9, c826, c25c
lji[ 417]:= 46dc, 4400, c76e, c5d9, c826, c25c
