lji[ 263]:= 3c59, 4004, c7ac, c62c, c817, c1cd
lji[ 264]:= 4996, 465b, c7ac, c62c, c817, c1cd
lji[ 265]:= cc48, ca1b, c7ac, c62c, c817, c1cd
lji[ 266]:= cbc4, c9a7, c7ac, c62c, c817, c1cd
lji[ 267]:= 49e1, 4535, c7ac, c62c, c817, c1cd
lji[ 268]:= 4a47, 45c8, c7ac, c62c, c817, c1cd
lji[ 269]:= 425a, 3b56, c7ac, c62c, c817, c1cd
lji[ 270]:= 48ca, 49c5, c7ac, c62c, c817, c1cd
lji[ 271]:= c7c5, c66c, c7ac, c62c, c817, c1cd
lji[ 272]:= 4b20, 4765, c7ac, c62c, c817, c1cd
lji[ 273]:= c50a, 4125, c7ac, c62c, c817, c1cd
lji[ 274]:= c3d1, b99c, c7ac, c62c, c817, c1cd
lji[ 275]:= 4c0b, 492d, c7ac, c62c, c817, c1cd
lji[ 276]:= 4ba1, 4bb0, c7ac, c62c, c817, c1cd
lji[ 277]:= 46ad, 4468, c7ac, c62c, c817, c1cd
lji[ 278]:= 4562, 48b3, c7ac, c62c, c817, c1cd
lji[ 279]:= 43d2, b090, c7ac, c62c, c817, c1cd
lji[ 280]:= 4816, 483b, c7ac, c62c, c817, c1cd
lji[ 281]:= c4f1, bd92, c7ac, c62c, c817, c1cd
lji[ 282]:= 4189, 3cdb, c7ac, c62c, c817, c1cd
lji[ 283]:= 4c72, 4bd0, c7ac, c62c, c817, c1cd
lji[ 284]:= 3d50, 433e, c7ac, c62c, c817, c1cd
lji[ 285]:= 4506, 44f8, c7ac, c62c, c817, c1cd
lji[ 286]:= c023, c356, c7ac, c62c, c817, c1cd
lji[ 287]:= 49a1, 4772, c7ac, c62c, c817, c1cd
lji[ 288]:= 3cf0, 4879, c7ac, c62c, c817, c1cd
lji[ 289]:= c979, c892, c7ac, c62c, c817, c1cd
lji[ 290]:= c94f, c85c, c7ac, c62c, c817, c1cd
