lij[ 168]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 169]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 170]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 171]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 172]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 173]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 174]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 175]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 176]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 177]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 178]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 179]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 180]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 181]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 182]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 183]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 184]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 185]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 186]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 187]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 188]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 189]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 190]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 191]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 192]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 193]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 194]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 195]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 196]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 197]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 198]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 199]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 200]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 201]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 202]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 203]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 204]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 205]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 206]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 207]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 208]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 209]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 210]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 211]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 212]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 213]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 214]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
