lij[ 181]:= 47a0, bc14, bc14, 416b, c16b, c35b
lij[ 182]:= 4189, 46ee, 418e, 416b, c16b, c35b
lij[ 183]:= 4518, c738, c50e, 416b, c16b, c35b
lij[ 184]:= c084, 41ac, bf4a, 416b, c16b, c35b
lij[ 185]:= c2ab, c2ab, 47a0, 416b, c16b, c35b
lij[ 186]:= 43af, c38c, c63d, 416b, c16b, c35b
lij[ 187]:= 457b, 4480, 4492, 416b, c16b, c35b
lij[ 188]:= 43f7, 3fd9, 4032, 416b, c16b, c35b
lij[ 189]:= bca2, 3c48, c2d2, 416b, c16b, c35b
lij[ 190]:= c14b, c504, 417a, 416b, c16b, c35b
lij[ 191]:= 3e27, 47a0, 3e27, 416b, c16b, c35b
lij[ 192]:= c6ee, c7a0, 46ee, 416b, c16b, c35b
lij[ 193]:= c480, c522, 452d, 416b, c16b, c35b
lij[ 194]:= baf9, bc29, 4124, 416b, c16b, c35b
lij[ 195]:= 463d, 3d41, 3d45, 416b, c16b, c35b
lij[ 196]:= c738, c63d, 461e, 416b, c16b, c35b
lij[ 197]:= c3bc, c57b, 440d, 416b, c16b, c35b
lij[ 198]:= c197, 3d84, be8e, 416b, c16b, c35b
lij[ 199]:= 3467, bd09, b7fd, 416b, c16b, c35b
lij[ 200]:= 41e8, 3700, 365d, 416b, c16b, c35b
lij[ 201]:= c456, c456, 47a0, 416b, c16b, c35b
lij[ 202]:= c2b6, 4325, c18b, 416b, c16b, c35b
lij[ 203]:= 4028, be5f, c108, 416b, c16b, c35b
lij[ 204]:= 41fe, 47a0, 41fe, 416b, c16b, c35b
lij[ 205]:= c6ee, c5d4, 45ad, 416b, c16b, c35b
lij[ 206]:= c0ac, 3cb5, bbbd, 416b, c16b, c35b
lij[ 207]:= 3f70, 0000, 0000, 416b, c16b, c35b
lij[ 208]:= c088, c58b, 4098, 416b, c16b, c35b
lij[ 209]:= c59b, c41d, 43f7, 416b, c16b, c35b
lij[ 210]:= c4ac, b4cd, 34b9, 416b, c16b, c35b
lij[ 211]:= b704, 3704, c5d4, 416b, c16b, c35b
lij[ 212]:= 424e, 44ba, 41f3, 416b, c16b, c35b
lij[ 213]:= 429c, c2a0, c738, 416b, c16b, c35b
lij[ 214]:= 41e8, c7a0, c1e8, 416b, c16b, c35b
lij[ 215]:= c098, 4098, c7a0, 416b, c16b, c35b
lij[ 216]:= b84e, 3845, c504, 416b, c16b, c35b
lij[ 217]:= 452d, 44e9, 461e, 416b, c16b, c35b
lij[ 218]:= c4fb, 4545, c475, 416b, c16b, c35b
lij[ 219]:= c014, c014, 47a0, 416b, c16b, c35b
lij[ 220]:= 3e13, 3e13, 47a0, 416b, c16b, c35b
lij[ 221]:= 3a3c, ba3c, c7a0, 416b, c16b, c35b
lij[ 222]:= c1f3, 46ee, c1ee, 416b, c16b, c35b
lij[ 223]:= c1fe, c7a0, 41fe, 416b, c16b, c35b
lij[ 224]:= 45c0, 456c, 44f2, 416b, c16b, c35b
lij[ 225]:= 4429, 4429, 47a0, 416b, c16b, c35b
lij[ 226]:= 403c, beac, c14f, 416b, c16b, c35b
lij[ 227]:= bd84, 3adf, b823, 416b, c16b, c35b
lij[ 228]:= 4603, c58b, c522, 416b, c16b, c35b
lij[ 229]:= c7a0, 47a0, c7a0, 416b, c16b, c35b
lij[ 230]:= b75d, 47a0, b75d, 416b, c16b, c35b
lij[ 231]:= 3f6e, 4032, 3d31, 416b, c16b, c35b
lij[ 232]:= c2de, c7a0, 42de, 416b, c16b, c35b
lij[ 233]:= c52d, 389c, b8a0, 416b, c16b, c35b
lij[ 234]:= c4d8, c4f2, 444c, 416b, c16b, c35b
lij[ 235]:= be9b, 41db, bdb8, 416b, c16b, c35b
lij[ 236]:= c7a0, c0c1, 40c1, 416b, c16b, c35b
lij[ 237]:= c7a0, c325, 4325, 416b, c16b, c35b
lij[ 238]:= 3cf5, 3cf2, 4686, 416b, c16b, c35b
lij[ 239]:= 3d6e, c7a0, bd6e, 416b, c16b, c35b
lij[ 240]:= c283, c2be, 455e, 416b, c16b, c35b
lij[ 241]:= bb50, 420f, bc10, 416b, c16b, c35b
lij[ 242]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 243]:= b3f2, 351b, c025, 416b, c16b, c35b
lij[ 244]:= b91f, 4498, b905, 416b, c16b, c35b
lij[ 245]:= 3fab, be78, bc60, 416b, c16b, c35b
lij[ 246]:= 40ff, 4108, 463d, 416b, c16b, c35b
lij[ 247]:= bf1b, 405f, bdba, 416b, c16b, c35b
lij[ 248]:= bc8b, c0bc, 3d44, 416b, c16b, c35b
lij[ 249]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 250]:= c1b6, 3e0c, bf31, 416b, c16b, c35b
lij[ 251]:= 411d, 47a0, 411d, 416b, c16b, c35b
lij[ 252]:= 4060, 42de, 4108, 416b, c16b, c35b
lij[ 253]:= 3c14, b750, bc29, 416b, c16b, c35b
lij[ 254]:= c160, c5c0, 4156, 416b, c16b, c35b
lij[ 255]:= b665, c65f, 3661, 416b, c16b, c35b
lij[ 256]:= b7ec, 3b5d, bca9, 416b, c16b, c35b
lij[ 257]:= 3ea3, bc29, b966, 416b, c16b, c35b
lij[ 258]:= 4480, c4ac, c61e, 416b, c16b, c35b
lij[ 259]:= c07a, c07a, 47a0, 416b, c16b, c35b
lij[ 260]:= 2280, bcff, a480, 416b, c16b, c35b
lij[ 261]:= c46f, 4305, c3f7, 416b, c16b, c35b
lij[ 262]:= 47a0, 47a0, 47a0, 416b, c16b, c35b
lij[ 263]:= 45c0, c5d4, c738, 416b, c16b, c35b
lij[ 264]:= c7a0, 47a0, c7a0, 416b, c16b, c35b
lij[ 265]:= b426, c6ee, 3426, 416b, c16b, c35b
lij[ 266]:= 4264, 3dd5, 3e8e, 416b, c16b, c35b
lij[ 267]:= c603, 47a0, c603, 416b, c16b, c35b
lij[ 268]:= c07a, 46b5, c077, 416b, c16b, c35b
lij[ 269]:= 3793, 38f1, 4016, 416b, c16b, c35b
lij[ 270]:= b544, 2700, b0f3, 416b, c16b, c35b
lij[ 271]:= 3f5b, 3f44, 456c, 416b, c16b, c35b
lij[ 272]:= 3ee5, 44e0, 3f05, 416b, c16b, c35b
lij[ 273]:= 41c7, 455e, 41a7, 416b, c16b, c35b
lij[ 274]:= 33a9, c7a0, b3a9, 416b, c16b, c35b
lij[ 275]:= c3c2, c3f7, 4603, 416b, c16b, c35b
lij[ 276]:= c522, 44e9, c63d, 416b, c16b, c35b
lij[ 277]:= b338, c141, 3426, 416b, c16b, c35b
lij[ 278]:= 443a, c551, c402, 416b, c16b, c35b
lij[ 279]:= 456c, 4402, 43a3, 416b, c16b, c35b
lij[ 280]:= 4241, 41fb, 41aa, 416b, c16b, c35b
lij[ 281]:= b7ad, 37ad, c7a0, 416b, c16b, c35b
lij[ 282]:= 3c69, c3af, bca1, 416b, c16b, c35b
