lji[ 365]:= 4a08, 4b6c, c80c, c8f2, c595, c498
lji[ 366]:= ca54, cc41, c80c, c8f2, c595, c498
lji[ 367]:= 4bb4, 4b21, c80c, c8f2, c595, c498
lji[ 368]:= 48e6, 4847, c80c, c8f2, c595, c498
lji[ 369]:= bd79, c1ee, c80c, c8f2, c595, c498
lji[ 370]:= c9c3, cacf, c80c, c8f2, c595, c498
lji[ 371]:= 4097, b974, c80c, c8f2, c595, c498
lji[ 372]:= 4938, 449d, c80c, c8f2, c595, c498
lji[ 373]:= c5ab, 41c0, c80c, c8f2, c595, c498
lji[ 374]:= 4508, 44d7, c80c, c8f2, c595, c498
lji[ 375]:= c9aa, ca8f, c80c, c8f2, c595, c498
lji[ 376]:= 47e7, 480f, c80c, c8f2, c595, c498
lji[ 377]:= be82, c80f, c80c, c8f2, c595, c498
lji[ 378]:= 40f8, 40a8, c80c, c8f2, c595, c498
lji[ 379]:= 4278, 4084, c80c, c8f2, c595, c498
lji[ 380]:= c4ec, c2aa, c80c, c8f2, c595, c498
lji[ 381]:= 4c2b, 49bd, c80c, c8f2, c595, c498
lji[ 382]:= 4492, 4954, c80c, c8f2, c595, c498
lji[ 383]:= c839, c7bb, c80c, c8f2, c595, c498
lji[ 384]:= b666, c41d, c80c, c8f2, c595, c498
lji[ 385]:= c42c, c5c3, c80c, c8f2, c595, c498
lji[ 386]:= 44d7, 42da, c80c, c8f2, c595, c498
lji[ 387]:= c041, 405a, c80c, c8f2, c595, c498
lji[ 388]:= 44e4, 47de, c80c, c8f2, c595, c498
lji[ 389]:= c61e, bdc4, c80c, c8f2, c595, c498
lji[ 390]:= c1c6, bcde, c80c, c8f2, c595, c498
lji[ 391]:= c016, c022, c80c, c8f2, c595, c498
lji[ 392]:= 4b8e, 49ae, c80c, c8f2, c595, c498
lji[ 393]:= cb28, cc21, c80c, c8f2, c595, c498
lji[ 394]:= c943, c9c1, c80c, c8f2, c595, c498
lji[ 395]:= c080, c806, c80c, c8f2, c595, c498
lji[ 396]:= c936, ba88, c80c, c8f2, c595, c498
lji[ 397]:= 4a8f, 4b03, c80c, c8f2, c595, c498
lji[ 398]:= 449c, 43e0, c80c, c8f2, c595, c498
lji[ 399]:= c60d, c121, c80c, c8f2, c595, c498
lji[ 400]:= be08, b9cd, c80c, c8f2, c595, c498
lji[ 401]:= b9f4, 397c, c80c, c8f2, c595, c498
lji[ 402]:= bd8d, c2b8, c80c, c8f2, c595, c498
lji[ 403]:= 48c8, 49f2, c80c, c8f2, c595, c498
lji[ 404]:= c066, 3a30, c80c, c8f2, c595, c498
lji[ 405]:= c6f9, c466, c80c, c8f2, c595, c498
lji[ 406]:= c7a8, c760, c80c, c8f2, c595, c498
lji[ 407]:= 49b7, 486f, c80c, c8f2, c595, c498
lji[ 408]:= 46c2, 48b0, c80c, c8f2, c595, c498
lji[ 409]:= c6df, c176, c80c, c8f2, c595, c498
lji[ 410]:= be76, c4d3, c80c, c8f2, c595, c498
lji[ 411]:= 4be9, 4baf, c80c, c8f2, c595, c498
lji[ 412]:= 49df, 4a96, c80c, c8f2, c595, c498
lji[ 413]:= c9ea, cada, c80c, c8f2, c595, c498
lji[ 414]:= bda9, bfaf, c80c, c8f2, c595, c498
lji[ 415]:= ad00, be8c, c80c, c8f2, c595, c498
lji[ 416]:= 3c2e, 40b1, c80c, c8f2, c595, c498
lji[ 417]:= 41a8, baf0, c80c, c8f2, c595, c498
lji[ 418]:= c770, ca74, c80c, c8f2, c595, c498
lji[ 419]:= 442d, 42ae, c80c, c8f2, c595, c498
lji[ 420]:= c8e0, cb0c, c80c, c8f2, c595, c498
lji[ 421]:= c993, c9b3, c80c, c8f2, c595, c498
lji[ 422]:= 483f, 45a0, c80c, c8f2, c595, c498
lji[ 423]:= 4521, 40f8, c80c, c8f2, c595, c498
lji[ 424]:= 4ba5, 49fb, c80c, c8f2, c595, c498
